"Location","Year","Trial","Experiment.Name","Design","Index","AIC","logLik","Moran I statistic","Expectation","Variance","p Value","CV"
"Pullman","2020","AHR2","2020 AHR2 PUL","Alpha-Lattice","Control","88.6549016443745","-8.32745082218725","0.164059909820308","-0.00934579439252336","0.00508362785917639","0.00750635249490694","5.17053825273722"
"Pullman","2020","AHR2","2020 AHR2 PUL","Alpha-Lattice","Can_Cover","89.6654134272707","-7.83270671363536","0.164059909820308","-0.00934579439252336","0.00508362785917639","0.00750635249490694","5.65729462501941"
"Pullman","2020","AHR2","2020 AHR2 PUL","Alpha-Lattice","NDVI","90.6121985050299","-8.30609925251494","0.164059909820308","-0.00934579439252336","0.00508362785917639","0.00750635249490694","4.89010465839903"
"Pullman","2020","AHR2","2020 AHR2 PUL","Alpha-Lattice","NDRE2","86.3182787596211","-6.15913937981057","0.164059909820308","-0.00934579439252336","0.00508362785917639","0.00750635249490694","4.68577376688705"
"Walla_Walla","2020","AHR2","2020 AHR2 WAW","Alpha-Lattice","Control","100.454736282716","-14.2273681413581","-0.0198740062996856","-0.00934579439252336","0.00515366747038314","0.558297769978062","9.77160095033192"
"Walla_Walla","2020","AHR2","2020 AHR2 WAW","Alpha-Lattice","Can_Cover","102.432726076535","-14.2163630382674","-0.0198740062996856","-0.00934579439252336","0.00515366747038314","0.558297769978062","9.80995791908382"
"Walla_Walla","2020","AHR2","2020 AHR2 WAW","Alpha-Lattice","NDVI","97.285147308258","-11.642573654129","-0.0198740062996856","-0.00934579439252336","0.00515366747038314","0.558297769978062","10.5638198976956"
"Walla_Walla","2020","AHR2","2020 AHR2 WAW","Alpha-Lattice","NDRE2","43.6024418985398","15.1987790507301","-0.0198740062996856","-0.00934579439252336","0.00515366747038314","0.558297769978062","5.36851089822855"
"Harrington","2020","AWY1","2020 AWY1 HRN","Alpha-Lattice","Control","175.422388736845","-39.7111943684225","-0.202799539348","-0.00699300699300699","0.00378942593932044","0.999265731218111","16.4205241750586"
"Harrington","2020","AWY1","2020 AWY1 HRN","Alpha-Lattice","Can_Cover","9.19899563626689","44.4005021818666","-0.202799539348","-0.00699300699300699","0.00378942593932044","0.999265731218111","6.7967902433494"
"Harrington","2020","AWY1","2020 AWY1 HRN","Alpha-Lattice","NDVI","73.7156911974695","12.1421544012652","-0.202799539348","-0.00699300699300699","0.00378942593932044","0.999265731218111","9.30031913149251"
"Harrington","2020","AWY1","2020 AWY1 HRN","Alpha-Lattice","NDRE2","63.8572489432827","17.0713755283586","-0.202799539348","-0.00699300699300699","0.00378942593932044","0.999265731218111","11.0881844272845"
